DATE,ITEM CODE,ITEM DESCRIPTION,QTY,PRICE,DISCNT,TOTAL
2025-04-01,ELE352,SPARK PLUG CC10N-6 - HELLA,1,100,0,100
2025-04-01,OIL030,OIL MOTUL SCOOTER 4T 10W40 800mL,1,330,0,330
2025-04-01,OIL009,GEAR OIL YAMALUBE 100mL,1,110,0,110
2025-04-01,OIL106,OIL HONDA SCOOTER FULLY SYNTHETIC 800mL,1,380,0,380
2025-04-01,ELE352,SPARK PLUG CC10N-6 - HELLA,1,100,0,100
2025-04-01,OIL061,GREASE HI-TEMP 10G - KOBY,1,30,0,30
2025-04-01,OIL088,OIL CASTROL ACTIVE ESSENTIAL 1L,1,280,0,280
2025-04-01,ELE233,BATTERY 12N4L - OD,1,600,0,600
2025-04-01,OIL015,OIL HAVOLINE EZY 4T 20W40 1L,1,270,0,270
2025-04-01,ELE427,BULB TAIL LIGHT S25 12V 21/5W - CSL,1,25,0,25
2025-04-01,ELE379,BULB T19,1,20,0,20
2025-04-01,OIL009,GEAR OIL YAMALUBE 100mL,1,110,0,110
2025-04-01,WHL170,TIRE SEALANT 500mL - KOBY,1,110,0,110
2025-04-01,OIL089,OIL PETRON 2T 200mL,1,60,0,60
2025-04-01,CHN088,SPROCKET 14T CG125,1,80,0,80
2025-04-01,ELE430,BULB TAIL LIGHT S25 ORDINARY - YSK,1,25,0,25
2025-04-01,WHL170,TIRE SEALANT 500mL - KOBY,1,110,0,110
2025-04-01,CVT113,BELT 2PH MIOi125/M3/SOULi125 - YAMAHA,1,650,0,650
2025-04-01,OIL030,OIL MOTUL SCOOTER 4T 10W40 800mL,1,330,0,330
2025-04-01,OIL056,OIL RS8 ECO LINE 20W50 800mL,1,230,0,230
2025-04-01,ELE352,SPARK PLUG CC10N-6 - HELLA,1,100,0,100
2025-04-01,OIL061,GREASE HI-TEMP 10G - KOBY,1,30,0,30
2025-04-01,WHL262,TIRE VALVE PITO TUBELESS SILVER,1,25,0,25
2025-04-01,OIL056,OIL RS8 ECO LINE 20W50 800mL,1,230,0,230
2025-04-02,BER023,BEARING 6205 - KYSK,2,100,0,200
2025-04-02,OIL065,OIL YAMALUBE BLUE CORE 10W40 1LTR,1,400,0,400
2025-04-02,FIL031,OIL FILTER - GRS (YAMAHA),1,80,0,80
2025-04-02,ENG134,BLOCK BEAT 50MM - SAIYAN,1,1450,0,1450
2025-04-02,OIL105,OIL ZIC 10W40 M9 1000mL,1,360,0,360
2025-04-02,BNT069,BOLT FOR PIPE CG125 TMX EURO,2,60,0,120
2025-04-02,OIL061,GREASE HI-TEMP 10G - KOBY,1,30,0,30
